pid,label,key,location,keywords,description,named_persons,rights,creation_date,ingest_date,latitude,longitude,format,source,order,layout,thumbnail,full,manifest,collection
01234cc,People,people,Leadville (Colo.),"People, Men","Phillip McCourt, Elizabeth ""Baby Doe"" (McCourt Doe) Tabor's brother (Tabor home)",Phillip McCourt,This photo is property of Lake County Civic Center Association.,,2021-03-30,,,Photo,Scanned Negative,1159,cmhc_item,"/img/derivatives/iiif/images/01234cc/full/250,/0/default.jpg","/img/derivatives/iiif/images/01234cc/full/1140,/0/default.jpg",/img/derivatives/iiif/01234cc/manifest.json,cmhc
00118cc,Mining,mining,San Juan County (Colo.),"Mining, People, Men, Miners ","Group at Adams Mine, 1929 (Hasty Collection)",,This photo is property of Lake County Civic Center Association.,1929,2021-01-13,,,Photo,Scanned Negative,116,cmhc_item,"/img/derivatives/iiif/images/00118cc/full/250,/0/default.jpg","/img/derivatives/iiif/images/00118cc/full/1140,/0/default.jpg",/img/derivatives/iiif/00118cc/manifest.json,cmhc
01235cc,People,people,Leadville (Colo.),"People, Men","James McCourt, Elizabeth ""Baby Doe"" (McCourt Doe) Tabor's brother (Tabor home)",James McCourt,This photo is property of Lake County Civic Center Association.,,2021-03-30,,,Photo,Scanned Negative,1160,cmhc_item,"/img/derivatives/iiif/images/01235cc/full/250,/0/default.jpg","/img/derivatives/iiif/images/01235cc/full/1140,/0/default.jpg",/img/derivatives/iiif/01235cc/manifest.json,cmhc
01236cc,People,people,Leadville (Colo.),"People, Women","Cornelia McCourt, Elizabeth ""Baby Doe"" (McCourt Doe) Tabor's sister (Tabor home)",Cornelia McCourt,This photo is property of Lake County Civic Center Association.,,2021-03-30,,,Photo,Scanned Negative,1161,cmhc_item,"/img/derivatives/iiif/images/01236cc/full/250,/0/default.jpg","/img/derivatives/iiif/images/01236cc/full/1140,/0/default.jpg",/img/derivatives/iiif/01236cc/manifest.json,cmhc
01237cc,People,people,Leadville (Colo.),"People, Women","Claudia McCourt, Elizabeth ""Baby Doe"" (McCourt Doe) Tabor's sister (Tabor home)",Claudia McCourt,This photo is property of Lake County Civic Center Association.,,2021-03-30,,,Photo,Scanned Negative,1162,cmhc_item,"/img/derivatives/iiif/images/01237cc/full/250,/0/default.jpg","/img/derivatives/iiif/images/01237cc/full/1140,/0/default.jpg",/img/derivatives/iiif/01237cc/manifest.json,cmhc
01238cc,Buildings & Businesses,bandb,Denver (Colo.),"Buildigns, Houses, People, Horses, Wagons","First Tabor home at 1647 Welton Street, Denver (Tabor home)",,This photo is property of Lake County Civic Center Association.,,2021-03-30,,,Photo,Scanned Negative,1163,cmhc_item,"/img/derivatives/iiif/images/01238cc/full/250,/0/default.jpg","/img/derivatives/iiif/images/01238cc/full/1140,/0/default.jpg",/img/derivatives/iiif/01238cc/manifest.json,cmhc
01239cc,Buildings & Businesses,bandb,Denver (Colo.),"Buildings, Houses, People",Tabor home at 13th Avenue & Sherman Street in Denver (Tabor home),,This photo is property of Lake County Civic Center Association.,,2021-03-30,,,Photo,Scanned Negative,1164,cmhc_item,"/img/derivatives/iiif/images/01239cc/full/250,/0/default.jpg","/img/derivatives/iiif/images/01239cc/full/1140,/0/default.jpg",/img/derivatives/iiif/01239cc/manifest.json,cmhc
01240cc,Buildings & Businesses,bandb,Denver (Colo.),"Buildings, Houses, Men",Tabor home at 17th Street & Broadway in Denver (Tabor home),,This photo is property of Lake County Civic Center Association.,,2021-03-30,,,Photo,Scanned Negative,1165,cmhc_item,"/img/derivatives/iiif/images/01240cc/full/250,/0/default.jpg","/img/derivatives/iiif/images/01240cc/full/1140,/0/default.jpg",/img/derivatives/iiif/01240cc/manifest.json,cmhc
01241cc,People,people,Leadville (Colo.),"People, Women","Elizabeth ""Baby Doe"" (McCourt Doe) Tabor (Tabor home)","Elizabeth ""Baby Doe""(McCourt Doe) Tabor ",This photo is property of Lake County Civic Center Association.,,2021-03-30,,,Photo,Scanned Negative,1166,cmhc_item,"/img/derivatives/iiif/images/01241cc/full/250,/0/default.jpg","/img/derivatives/iiif/images/01241cc/full/1140,/0/default.jpg",/img/derivatives/iiif/01241cc/manifest.json,cmhc
01242cc,People,people,Leadville (Colo.),"People, Children","Elizabeth Bonduel Lillie Tabor, July 13, 1884 (Tabor home)",Elizabeth Bonduel Lillie Tabor,This photo is property of Lake County Civic Center Association.,07/13/1884,2021-03-30,,,Photo,Scanned Negative,1167,cmhc_item,"/img/derivatives/iiif/images/01242cc/full/250,/0/default.jpg","/img/derivatives/iiif/images/01242cc/full/1140,/0/default.jpg",/img/derivatives/iiif/01242cc/manifest.json,cmhc
01243cc,People,people,Leadville (Colo.),"People, Children, Animals","Elizabeth Bonduel Lillie Tabor and dove, 4 years old (Tabor home)",Elizabeth Bonduel Lillie Tabor,This photo is property of Lake County Civic Center Association.,c. 1888,2021-03-30,,,Photo,Scanned Negative,1168,cmhc_item,"/img/derivatives/iiif/images/01243cc/full/250,/0/default.jpg","/img/derivatives/iiif/images/01243cc/full/1140,/0/default.jpg",/img/derivatives/iiif/01243cc/manifest.json,cmhc
01244cc,People,people,Leadville (Colo.),"People, Children","Elizabeth Bonduel Lillie Tabor, 2 years old (Tabor home)",Elizabeth Bonduel Lillie Tabor,This photo is property of Lake County Civic Center Association.,c. 1886,2021-03-30,,,Photo,Scanned Negative,1169,cmhc_item,"/img/derivatives/iiif/images/01244cc/full/250,/0/default.jpg","/img/derivatives/iiif/images/01244cc/full/1140,/0/default.jpg",/img/derivatives/iiif/01244cc/manifest.json,cmhc
00119cc,Mining,mining,Leadville (Colo.),"Smelters, People, Men","Group at American Smelting & Refining Smelter, 1915",,This photo is property of Lake County Civic Center Association.,1915,2021-01-13,,,Photo,Scanned Negative,117,cmhc_item,"/img/derivatives/iiif/images/00119cc/full/250,/0/default.jpg","/img/derivatives/iiif/images/00119cc/full/1140,/0/default.jpg",/img/derivatives/iiif/00119cc/manifest.json,cmhc
01245cc,People,people,Leadville (Colo.),"People, Children","Rosemary Echo ""Silver Dollar"" Tabor, 1889-1935 (Tabor home)","Rosemary Echo ""Silver Dollar"" Tabor",This photo is property of Lake County Civic Center Association.,1889-1935,2021-03-30,,,Photo,Scanned Negative,1170,cmhc_item,"/img/derivatives/iiif/images/01245cc/full/250,/0/default.jpg","/img/derivatives/iiif/images/01245cc/full/1140,/0/default.jpg",/img/derivatives/iiif/01245cc/manifest.json,cmhc
01246cc,People,people,Leadville (Colo.),"People, Children","Rosemary Echo ""Silver Dollar"" Tabor, 4 years old (Tabor home)","Rosemary Echo ""Silver Dollar"" Tabor",This photo is property of Lake County Civic Center Association.,c. 1893,2021-03-30,,,Photo,Scanned Negative,1171,cmhc_item,"/img/derivatives/iiif/images/01246cc/full/250,/0/default.jpg","/img/derivatives/iiif/images/01246cc/full/1140,/0/default.jpg",/img/derivatives/iiif/01246cc/manifest.json,cmhc
01247cc,People,people,Leadville (Colo.),"People, Women","Rosemary Echo ""Silver Dollar"" Tabor (Tabor home)","Rosemary Echo ""Silver Dollar"" Tabor",This photo is property of Lake County Civic Center Association.,,2021-03-30,,,Photo,Scanned Negative,1172,cmhc_item,"/img/derivatives/iiif/images/01247cc/full/250,/0/default.jpg","/img/derivatives/iiif/images/01247cc/full/1140,/0/default.jpg",/img/derivatives/iiif/01247cc/manifest.json,cmhc
